Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,6.846000,6.892000,6.791000,6.886000,6.886000,131240500
2020-10-29,6.811000,6.931000,6.805000,6.896000,6.896000,168306098
2020-10-30,6.895000,6.939000,6.731000,6.740000,6.740000,213661569
2020-11-02,6.745000,6.799000,6.730000,6.764000,6.764000,142314000
2020-11-03,6.791000,6.886000,6.773000,6.870000,6.870000,150107660
2020-11-04,6.870000,6.896000,6.803000,6.869000,6.869000,195165900
2020-11-05,6.921000,7.019000,6.901000,7.005000,7.005000,177194260
2020-11-06,7.009000,7.016000,6.884000,6.953000,6.953000,171816643
2020-11-09,6.980000,7.114000,6.979000,7.067000,7.067000,257066673
2020-11-10,7.094000,7.094000,6.972000,7.019000,7.019000,240201100
2020-11-11,7.000000,7.031000,6.933000,6.934000,6.934000,101307651
2020-11-12,6.939000,6.993000,6.930000,6.957000,6.957000,100846712
2020-11-13,6.938000,6.967000,6.877000,6.959000,6.959000,148898161
2020-11-16,6.972000,7.040000,6.940000,7.039000,7.039000,133702299
2020-11-17,7.033000,7.035000,6.955000,6.992000,6.992000,117455940
2020-11-18,6.988000,7.047000,6.960000,6.986000,6.986000,160776300
2020-11-19,6.975000,7.035000,6.934000,7.025000,7.025000,125874686
2020-11-20,7.000000,7.098000,7.000000,7.084000,7.084000,164162576
2020-11-23,7.086000,7.198000,7.056000,7.137000,7.137000,207425116
2020-11-24,7.135000,7.160000,7.122000,7.135000,7.135000,135984797
2020-11-25,7.152000,7.163000,7.010000,7.021000,7.021000,122020400
2020-11-26,7.020000,7.029000,6.948000,7.000000,7.000000,167207508
2020-11-27,7.002000,7.031000,6.922000,7.029000,7.029000,146789400
2020-11-30,7.030000,7.070000,6.956000,6.977000,6.977000,210418769
2020-12-01,6.967000,7.113000,6.961000,7.089000,7.089000,164333452
2020-12-02,7.091000,7.112000,7.047000,7.095000,7.095000,215723475
2020-12-03,7.093000,7.138000,7.046000,7.119000,7.119000,193693240
2020-12-04,7.100000,7.148000,7.063000,7.145000,7.145000,130509600
2020-12-07,7.142000,7.151000,7.074000,7.093000,7.093000,186785200
2020-12-08,7.087000,7.126000,7.079000,7.084000,7.084000,134522790
2020-12-09,7.090000,7.100000,6.967000,6.974000,6.974000,217341728
2020-12-10,6.939000,7.019000,6.926000,6.986000,6.986000,122054808
2020-12-11,6.989000,7.013000,6.833000,6.872000,6.872000,181707600
2020-12-14,6.867000,6.928000,6.833000,6.923000,6.923000,120117724
2020-12-15,6.908000,6.941000,6.887000,6.930000,6.930000,158659550
2020-12-16,6.930000,6.940000,6.879000,6.904000,6.904000,90996731
2020-12-17,6.900000,6.998000,6.856000,6.988000,6.988000,205467047
2020-12-18,6.980000,7.005000,6.929000,6.964000,6.964000,194707800
2020-12-21,6.961000,7.093000,6.957000,7.075000,7.075000,193841262
2020-12-22,7.071000,7.071000,6.920000,6.939000,6.939000,214560882
2020-12-23,6.940000,7.021000,6.912000,6.976000,6.976000,185766700
2020-12-24,6.973000,6.975000,6.872000,6.888000,6.888000,192571324
2020-12-25,6.870000,6.967000,6.861000,6.953000,6.953000,221940500
2020-12-28,6.942000,6.969000,6.887000,6.910000,6.910000,213992792
2020-12-29,6.914000,6.970000,6.865000,6.880000,6.880000,210953240
2020-12-30,6.873000,6.974000,6.856000,6.937000,6.937000,166217263
2020-12-31,6.959000,7.054000,6.947000,7.043000,7.043000,206703505
2021-01-04,7.063000,7.200000,7.031000,7.163000,7.163000,303586188
2021-01-05,7.151000,7.242000,7.128000,7.226000,7.226000,202600128
2021-01-06,7.229000,7.284000,7.162000,7.218000,7.218000,140420832
2021-01-07,7.205000,7.270000,7.166000,7.248000,7.248000,106788286
2021-01-08,7.249000,7.308000,7.181000,7.266000,7.266000,135134031
2021-01-11,7.258000,7.270000,7.110000,7.154000,7.154000,152274023
2021-01-12,7.133000,7.249000,7.131000,7.242000,7.242000,177810008
2021-01-13,7.241000,7.248000,7.157000,7.196000,7.196000,148317955
2021-01-14,7.180000,7.222000,7.100000,7.145000,7.145000,146024609
2021-01-15,7.138000,7.150000,7.038000,7.119000,7.119000,216835419
2021-01-18,7.093000,7.226000,7.089000,7.205000,7.205000,148955190
2021-01-19,7.205000,7.230000,7.149000,7.166000,7.166000,113151400
2021-01-20,7.163000,7.242000,7.147000,7.231000,7.231000,101734930
2021-01-21,7.240000,7.360000,7.240000,7.333000,7.333000,132738543
2021-01-22,7.318000,7.356000,7.270000,7.343000,7.343000,165306665
2021-01-25,7.340000,7.428000,7.302000,7.355000,7.355000,85514400
2021-01-26,7.318000,7.327000,7.227000,7.243000,7.243000,113718700
2021-01-27,7.228000,7.265000,7.186000,7.261000,7.261000,128610515
2021-01-28,7.192000,7.220000,7.103000,7.124000,7.124000,237666105
2021-01-29,7.139000,7.162000,6.930000,7.024000,7.024000,277564767
2021-02-01,7.022000,7.081000,7.017000,7.073000,7.073000,104476410
2021-02-02,7.075000,7.144000,7.043000,7.140000,7.140000,212865909
2021-02-03,7.140000,7.172000,7.097000,7.098000,7.098000,182317021
2021-02-04,7.070000,7.095000,6.932000,7.021000,7.021000,352282842
2021-02-05,7.019000,7.060000,6.910000,6.916000,6.916000,192155680
2021-02-08,6.919000,7.031000,6.890000,6.999000,6.999000,206341801
2021-02-09,6.995000,7.158000,6.995000,7.141000,7.141000,270969386
2021-02-10,7.150000,7.239000,7.104000,7.222000,7.222000,320010681
2021-02-18,7.360000,7.400000,7.260000,7.329000,7.329000,129660263
2021-02-19,7.317000,7.443000,7.253000,7.434000,7.434000,187731541
2021-02-22,7.459000,7.550000,7.362000,7.365000,7.365000,207532100
2021-02-23,7.329000,7.425000,7.323000,7.345000,7.345000,233291082
2021-02-24,7.325000,7.390000,7.186000,7.251000,7.251000,345054177
2021-02-25,7.295000,7.318000,7.172000,7.215000,7.215000,171878036
2021-02-26,7.103000,7.152000,7.031000,7.056000,7.056000,244962690
2021-03-01,7.080000,7.184000,7.080000,7.181000,7.181000,182203500
2021-03-02,7.203000,7.210000,7.081000,7.125000,7.125000,277071870
2021-03-03,7.108000,7.224000,7.108000,7.220000,7.220000,156887688
2021-03-04,7.190000,7.190000,7.067000,7.098000,7.098000,281260600
2021-03-05,7.034000,7.146000,7.010000,7.109000,7.109000,276802389
2021-03-08,7.136000,7.198000,6.928000,6.939000,6.939000,301916473
2021-03-09,6.928000,6.945000,6.699000,6.783000,6.783000,512332799
2021-03-10,6.825000,6.859000,6.703000,6.712000,6.712000,245439861
2021-03-11,6.712000,6.895000,6.688000,6.892000,6.892000,242314823
2021-03-12,6.900000,6.908000,6.793000,6.897000,6.897000,220141804
2021-03-15,6.855000,6.904000,6.778000,6.852000,6.852000,217457396
2021-03-16,6.850000,6.901000,6.794000,6.855000,6.855000,187772098
2021-03-17,6.841000,6.908000,6.777000,6.895000,6.895000,165368029
2021-03-18,6.895000,6.988000,6.895000,6.946000,6.946000,161466286
2021-03-19,6.879000,6.938000,6.839000,6.889000,6.889000,152577009
2021-03-22,6.878000,6.991000,6.878000,6.978000,6.978000,175103416
2021-03-23,6.979000,6.993000,6.861000,6.898000,6.898000,201276983
2021-03-24,6.850000,6.911000,6.806000,6.823000,6.823000,216643331
2021-03-25,6.793000,6.869000,6.775000,6.839000,6.839000,213913543
2021-03-26,6.841000,6.946000,6.839000,6.928000,6.928000,194791358
2021-03-29,6.930000,6.953000,6.880000,6.928000,6.928000,254911044
2021-03-30,6.923000,6.966000,6.885000,6.953000,6.953000,150081947
2021-03-31,6.944000,6.952000,6.865000,6.943000,6.943000,187868100
